Date,Streamflow (obs),Tmax,Tmin,Tavg,Precip,StrQobs
1/1/1977,5.46,31.85,21.62,26.71,10.39,6.499584
2/1/1977,2.74,32.41,22.15,27.02,4.02,2.946048
3/1/1977,5.05,31.65,21.79,26.49,53.34,6.01152
4/1/1977,8.88,30.64,22.49,26.4,93.98,10.22976
5/1/1977,2.09,29.46,20.96,25.01,57.63,2.487936
6/1/1977,1.67,27.99,18.99,23.09,52.33,1.92384
7/1/1977,3.69,28.14,19.33,23.36,22.64,4.392576
8/1/1977,2.47,27.66,18.96,23.08,52.92,2.940288
9/1/1977,4.44,28.57,19.38,23.8,96.68,5.11488
10/1/1977,8.77,29.68,20.75,25.08,214.86,10.439808
11/1/1977,10.83,29.93,21.54,25.72,184.69,12.47616
12/1/1977,11.45,30.29,21.49,25.71,124.78,13.63008
1/1/1978,5,30.91,21.35,25.79,64.79,5.952
2/1/1978,3.86,31.78,22.06,26.58,7.67,4.150272
3/1/1978,7.02,31.44,22.27,26.71,121.42,8.356608
4/1/1978,6.78,29.79,21.72,25.62,183.3,7.81056
5/1/1978,9.22,28.74,20.49,24.31,145.56,10.975488
6/1/1978,2.36,28.3,20.27,23.98,67.28,2.71872
7/1/1978,1.71,26.85,19.03,22.59,35.71,2.035584
8/1/1978,1.37,27.99,19.19,23.31,28.55,1.630848
9/1/1978,1.39,29.42,19.42,24.2,30.21,1.60128
10/1/1978,0,30.27,20.42,25.28,46.79,0
11/1/1978,6.37,30.09,21.2,25.58,189.32,7.33824
12/1/1978,7.32,29.41,21.15,25.17,219.41,8.713728
1/1/1979,4.76,31.25,21.86,26.28,180.3,5.666304
2/1/1979,3.41,31.61,22.09,26.48,44.73,3.666432
3/1/1979,6.32,32.22,22.29,27.09,109.52,7.523328
4/1/1979,4.13,30.68,21.48,25.82,138.8,4.75776
5/1/1979,8.51,28,20.81,24.28,258.78,10.130304
6/1/1979,8.22,27.52,19.02,22.9,67.06,9.46944
